id,classification,question,answer,video_url
1,faq_etc,우리집에 빨간 딱지가 붙었다면 어떻게 해야 할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/iehWFkms1LI
2,faq_etc,나에게 맞는 구제제도와 방법에 무엇이 있을까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/q-ieanimEHM
3,faq_etc,도박 빚 해결하는 방법 ,입력하신 사항이 없습니다.,https://www.youtube.com/embed/fS-yeO5OhsY
4,faq_etc,신청 자격 나이 제한이 있나요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/UZ9-o0YWTAc
5,faq_etc,신청을 해도 빚 독촉을 계속 받게 되나요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/vIVMHKHRnZE
6,faq_etc,채권자의 주소를 모른다면 어떻게 해야 할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/_OS5J52bRFY
7,faq_etc,채권자 목록에서 채권자를 누락한 경우,입력하신 사항이 없습니다.,https://www.youtube.com/embed/0CGtmCKBh9A
8,faq_etc,몇 달치 변제금액을 한꺼번에 납부해야 한다면?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/zVHs5wUSI2U
9,faq_etc,청산가치보장 원칙이란 무엇인가요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/He25vzOgk4Y
10,faq_etc,연대보증제도 폐지에 대해 궁금합니다.,입력하신 사항이 없습니다.,https://www.youtube.com/embed/cygBQRVcyg4
11,faq_etc,"금지명령, 중지명령 기각된 경우 어떻게 해야 할까요?",입력하신 사항이 없습니다.,https://www.youtube.com/embed/S17GoJn2ZuM
12,faq_etc,유체부동산 경매에서 배우자의 권리,입력하신 사항이 없습니다.,https://www.youtube.com/embed/ieEhftzuB4s
13,faq_etc,유체동산 경매 시 배우자가 행사할 수 있는 권리,입력하신 사항이 없습니다.,https://www.youtube.com/embed/ErUayrC9Rbg
14,faq_etc,급여압류 한도 금액과 압류를 피할 수 있는 방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/XuhPnc6vOvw
15,faq_etc,급여 압류 시 어떻게 해결해야 할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/7M3G41HiSLU
16,faq_etc,급여 압류 한도금액과 압류를 피할 수 있는 방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/zaW1xO4l4vY
17,faq_etc,압류해제 신청하는 방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/_VzMCHHbuTA
18,faq_etc,압류된 통장 해제 신청하는 방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/cIp5pJI3Hfw
19,faq_etc,유체동산 압류 시 해결방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/pxidGjelsyA
20,faq_etc,급여압류가 되어 있는 경우 압류적립금은 어떻게 되나요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/nos62QbSges
21,faq_etc,압류금지채권 범위 변경 신청 방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/amyx_dGzyiA
22,faq_etc,유체동산 압류 대처 방법이 궁금해요,입력하신 사항이 없습니다.,https://serviceapi.rmcnmv.naver.com/flash/outKeyPlayer.nhn?vid=494903231A66F6C40C9E185158158FA1F14E&outKey=V126d14c62ff321e5613ba26d7f39fd5efbc1ed8e53b74243035ea26d7f39fd5efbc1&controlBarMovable=true&jsCallable=true&isAutoPlay=true&skinName=tvcast_white
23,faq_etc,급여에 압류가 들어와 압류금이 적립되었다면?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/nos62QbSges
24,faq_etc,부양가족 산정은 어떻게 하나요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/KCvJg9L-HJs
25,faq_etc,별거 중인 부모님도 부양가족으로 할 수 있을까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/YP7b0seuzdE
26,faq_etc,양육비 직접 지급명령 제도란 무엇인가요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/R0grVyCPgkc
27,faq_etc,학자금 대출과 일반 대출 채무가 고민입니다.,입력하신 사항이 없습니다.,https://www.youtube.com/embed/ZbcX_7WsHGk
28,faq_etc,학자금 대출 종류와 해결방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/dOtPRyhpgSQ
29,faq_etc,학자금 대출의 종류와 해결방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/nlcgJwqlpFM
30,faq_etc,학자금대출 종류와 어떤 제도를 통해 해결이 가능할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/TjGWGLZ6IS0
31,faq_etc,인터넷 보험가입내역서 결과서 발급방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/jjbJRyCXCC4
32,faq_etc,인터넷 보험가입내역 조회 신청이 궁금해요,입력하신 사항이 없습니다.,https://www.youtube.com/embed/sX1ZFCrDuqc
33,faq_etc,보험계약자 변경에 대해 궁금해요,입력하신 사항이 없습니다.,https://www.youtube.com/embed/dXOgzhtszS4
34,faq_etc,채무증대경위서 쉽게 작성하는 방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/yM96QVslqd4
35,faq_etc,채무불이행자 명부 등재 어떻게 말소할 수 있을까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/vkQwe8kfEKw
36,faq_etc,최근 채무가 많다면 어떻게 해야 할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/O-hvJjx_Orw
37,faq_etc,배우자의 채무 나에게도 영향을 미칠까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/teNRoadVj78
38,faq_etc,임대차 보증금 주의해야 할 사항,입력하신 사항이 없습니다.,https://www.youtube.com/embed/RwXhoiGQ5uI
39,faq_etc,"금지, 중지명령 기각시 해결 방법",입력하신 사항이 없습니다.,https://www.youtube.com/embed/S17GoJn2ZuM
40,faq_etc,"재산명시, 감치명령 이렇게 대처",입력하신 사항이 없습니다.,https://www.youtube.com/embed/doskKrExutY
41,faq_etc,유한회사의 경우에도 가수금출자전환 가능,입력하신 사항이 없습니다.,https://www.youtube.com/embed/onKeXEhfoO4
42,faq_etc,포기 한정승인 상속순위가 궁금해요,입력하신 사항이 없습니다.,https://www.youtube.com/embed/jkUFZbt7xVc
43,faq_etc,상속포기와 한정승인의 차이는?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/WBmLg9qyg8I
44,faq_etc,개명신청 저렴하고 간단하게 신청,입력하신 사항이 없습니다.,https://www.youtube.com/embed/bcHupFzIx3s
45,faq_etc,협동조합의 특징이 궁금합니다.,입력하신 사항이 없습니다.,https://www.youtube.com/embed/1K4rjEqnSeI
46,faq_etc,불법추심 유형과 대처방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/IrId70s4Mm4
47,faq_etc,채권자의 협박과 폭언으로 벗어날 수 있는 방법이 있을까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/4WMbXXcajAQ
48,faq_etc,폐업 거래처 회사의 미수금 회수 해결방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/JxV-Ngpe7ng
49,faq_etc,폐지결정 후엔 어떻게 해야 할까?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/yvNbR0eVEK8
50,faq_etc,폐업 한 거래처 회사의 미수금 회수 할 수 있을까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/76Rrvjd8CG4
51,faq_etc,대전지방법원 주거비인정 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/60fgLq44fBk
52,faq_etc,유체동산이 압류된 경우 중지명령을 통한 해결방법과 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/O39P1A8w1ME
